Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
C2orf76	2	119302225	119366828
ACTL10	20	33666498	33668525
CEP135	4	55948871	56033363
MIIP	1	12019466	12032045
C20orf144	20	33662284	33665619
CCDC86	11	60842071	60851081
TRIM6	11	5596109	5612958
NKD1	16	50548330	50640739
GNL3	3	52681156	52694492
TM9SF1	14	24189143	24195687
CEP70	3	138494344	138594538
ZNF225	19	44112181	44134816
ALDH1L1	3	126103562	126197994
SLC35G2	3	136818647	136855892
USP31	16	23061406	23149270
BMPR1A	10	86756650	86932838
TIMP1	X	47582313	47586789
RILPL2	12	123410683	123436717
MRPL36	5	1798386	1801366
IL10RA	11	117986348	118001483
NCKAP1	2	182909115	183038858
MUTYH	1	45329163	45340470
SNX31	8	100572882	100663415
DPP10	2	114442299	115845752
TNFAIP1	17	28335602	28347009
NPSR1	7	34658239	34878332
NUP54	4	76114659	76148515
CSMD3	8	112222928	113437099
MYO19	17	36495633	36543435
NHEJ1	2	219075317	219160865
PAOX	10	133379234	133391694
CD99L2	X	150766337	150898816
PI4KA	22	20707691	20859417
C11orf49	11	46936689	47164385
DAXX	CHR_HSCHR6_MHC_MCF_CTG1	33488900	33499609
C20orf196	20	5750393	5863912
DISP1	1	222872271	223005995
MAGEB1	X	30243730	30252038
DDT	CHR_HSCHR22_1_CTG7	23971367	23980473
VCP	9	35056064	35073249
SETDB1	1	150926263	150964744
DCUN1D4	4	51843000	51916837
MFSD2A	1	39955112	39969968
FANCD2	3	10026414	10101930
NHLH1	1	160367067	160372848
CTNND2	5	10971840	11904043
FCER1G	1	161215234	161220699
CD1D	1	158179947	158184896
KRTAP1-5	CHR_HSCHR17_4_CTG4	41026153	41027329
MDC1	CHR_HSCHR6_MHC_SSTO_CTG1	30692058	30710140
MXRA8	1	1352689	1361777
SULT1A2	16	28591943	28597109
GTPBP8	3	112990918	113015060
SOX1	13	112067647	112070488
DDX5	17	64499616	64508199
PIP4K2C	12	57591174	57603418
CTDSP1	2	218398256	218405941
CYP26B1	2	72129238	72148038
MAP1LC3B	16	87383995	87404779
GRK4	4	2963608	3040747
DCHS1	11	6621323	6655854
MSMP	9	35752990	35756613
NTMT1	9	129608884	129636131
UBA6	4	67612652	67701179
FAM89B	11	65572349	65574198
TMEM104	17	74776483	74839779
TMEFF2	2	191949043	192195709
MTUS2	13	28820348	29505947
PARVB	22	43999211	44172949
FGD4	12	32399529	32646050
SYNPO	5	150601080	150659220
NLRP10	CHR_HSCHR11_1_CTG5	7970057	7976059
KIR2DL4	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54837484	54858960
ASF1A	6	118894220	118909167
MUC21	CHR_HSCHR6_MHC_MANN_CTG1	31028368	31034648
ZIC2	13	99981772	99986773
ADO	10	62804857	62808483
OAZ3	1	151762899	151771334
F9	X	139530758	139563458
MCM5	22	35400063	35425430
NCR1	CHR_HSCHR19LRC_COX2_CTG3_1	54576966	54586961
MPZL3	11	118226690	118252350
REEP6	19	1490747	1497927
HSPB2	11	111912242	111914093
STON1	2	48529383	48598513
KDM4D	11	94973681	94999518
OR10A7	12	55221025	55221975
STK19	CHR_HSCHR6_MHC_DBB_CTG1	31953357	31965001
THBS4	5	79991311	80083287
BLZF1	1	169367970	169396540
NRBP2	8	143833594	143840974
FOLH1	11	49146635	49208670
SLC25A37	8	23528805	23575463
NARF	17	82458180	82490537
FRY	13	32031300	32299122
ANXA4	2	69644425	69827100
TBCEL	11	121024072	121090775
HOXD3	2	176136612	176173102
SLC25A35	17	8287763	8295343
ANKRD50	4	124664052	124712732
DLX5	7	97020392	97025097
PHKB	16	47461123	47701523
AIDA	1	222668013	222713210
MURC	9	100578079	100587906
CLDN18	3	137998735	138033655
CTXN3	5	127649044	127658630
SYDE1	19	15107403	15114988
DNAJC6	1	65248219	65415869
PBX3	9	125747345	125967377
KIAA0141	5	141923808	141942047
GLRX	5	95751319	95823005
DCDC1	11	30830369	31369810
OR9G4	11	56742827	56743811
UBE2Q2	15	75843285	75901078
HLA-DMB	CHR_HSCHR6_MHC_COX_CTG1	32856943	32875441
C14orf166	14	51989475	52010691
PROS1	3	93873033	93974066
SNRPD1	18	21612267	21633524
CPS1	2	210477682	210679107
PRKCB	16	23836001	24220611
SEC24C	10	73744384	73772161
ACP1	2	264140	278283
NEDD9	6	11183298	11382348
NUDT19	19	32691961	32713796
C1QC	1	22643630	22648110
OR13C8	9	104569168	104570130
ENOX1	13	43213518	43786908
ELP2	18	36129444	36180556
THADA	2	43230836	43596046
PTH2	19	49422414	49423441
CPA1	7	130380339	130388114
IQUB	7	123452400	123535077
NEBL	10	20779973	21174187
OR7G2	19	9102269	9103306
BPIFB1	20	33273480	33309878
NRCAM	7	108147623	108456717
LIMK2	22	31212239	31280080
ZNF616	19	52113091	52139922
LZTR1	22	20979462	20999038
CTAGE1	18	22413601	22417915
ELOVL4	6	79914812	79947580
MTMR12	5	32226994	32313009
ADAMTS7	15	78759203	78811431
LCN10	9	136738167	136743356
ARSB	5	78777209	78986087
VCX3B	X	8464830	8466510
VNN1	6	132681590	132714049
MAB21L1	13	35474182	35477209
T	6	166157656	166168700
RAPGEF6	5	131423921	131635236
CXCR2	2	218125289	218137253
HTR2A	13	46831550	46897076
BAD	11	64269830	64284704
CCL21	9	34709005	34710124
IL36G	2	112973203	112985665
ANKRD53	2	70978380	70985499
MLST8	16	2204248	2209416
DHX15	4	24517441	24584550
CWC25	CHR_HSCHR17_7_CTG4	38601221	38626268
ZNF655	7	99558406	99576453
